applicant_province,offer_sum,population,offer_pop_ratio
Alberta,4951575.449999999,4402045,1.1248352640647696
British Columbia,11436599.510000002,5131575,2.2286723881069657
Manitoba,3301233.73,1377004,2.3974031520605603
New Brunswick,420930.43,780040,0.5396267242705503
Newfoundland and Labrador,494752.66,523631,0.9448498274548298
Northwest Territories,32838.5,45119,0.7278197655089873
Nova Scotia,2310325.5200000005,975898,2.3673842143338755
Nunavut,45000.0,38726,1.1620100191086091
Ontario,36342149.03,14689075,2.474093775816381
Prince Edward Island,629170.1000000001,158629,3.966299352577398
Québec,10700441.670000004,8556650,1.2505410026120038
Saskatchewan,749433.19,1179154,0.6355685432097927
Yukon,27974.5,41731,0.6703529750065899
