artist,followers,popularity,offer
$KELETON CLUB,0,0,2000.0
//RALPH//,45600,48,103148.85
0Stella,321,2,2000.0
100 mile house,1202,20,35494.0
3 Moonjask,56,0,2000.0
3409,1587,47,2000.0
5PIECE,0,0,2000.0
88Glam,371732,61,2000.0
A IS FOR ARROWS,737,30,20000.0
A.Y.E.,216,5,3265.0
ABAKOS,310,6,4554.0
ACTORS,15539,39,36840.0
AHI,10354,52,40000.0
AR Paisley,9533,54,38000.26
Aaricia,1464,22,3035.0
Aaron Dolman,29,0,4000.0
Aaron Goldstein,10,0,10000.0
Abby J Hall,611,15,2000.0
Abeena Samm,0,0,2208.0
Abigail Lapell,3594,40,16872.0
Abra Taylor,532,24,2000.0
Absolutely Free,2548,17,8081.4
Ada Lea,3898,28,1380.0
Adaline,6308,36,30000.0
Adam Beer-Colacino,0,0,2000.0
Adam K,53448,56,4140.0
Adrian Chalifour,475,19,2000.0
Adrian Dey,620,14,2000.0
Adrian House,17,1,2000.0
Adrian Sutherland,317,22,25000.0
Adrian Underhill,1296,16,2000.0
Adrian+Meredith,0,0,1553.0
Adrianne Dominica Chapman,0,0,2000.0
Adyn Townes,577,12,4485.0
Afta Hill,2531,28,22938.0
Aiza,992,26,10000.0
Ajay Friese,628,17,2000.0
Ajaye Jardine,1048,1,3035.0
Al Muirhead,95,4,3204.19
Alan Doyle,15299,49,71953.5
Alder & Ash,583,5,2000.0
Alee,7136,35,15000.0
Aleks Schürmer,0,0,2000.0
Aleksi Campagne,97,1,2000.0
Alessia De Gasperis,301,10,3623.0
Alex Bent + the Emptiness,384,9,5000.0
Alex Cuba,31432,54,26223.2
Alex Henry Foster,5111,29,102931.05
Alex Kade,2247,18,2000.0
Alex Lefaivre,0,0,2000.0
Alex Mundy,0,0,2000.0
Alex Nicol,0,0,2070.0
Alex Platt,1,0,2000.0
Alex Rand,57,0,2000.0
Alex Whorms,143,7,2000.0
Alexander Stewart,223602,54,10000.0
Alexandra Porat,0,0,10000.0
Alexandria Maillot,1225,15,5000.0
Alexiane,10246,52,21083.0
Alfie Zappacosta,661,17,21802.08
Algorhythm,35,0,2000.0
Alicia Clara,747,14,2000.0
Alicia Toner,241,10,24512.0
Aliens Like Us,17,0,1466.0
Allan Rayman,133010,56,36052.56
Alli Walker,20,19,10000.0
Allie X,625251,63,6866.05
Altameda,1345,17,5750.0
Altered By Mom,219,1,2000.0
Altona,95,1,2000.0
Alysha Brilla,8247,37,1339.03
Alyson McNamara,358,24,2000.0
Amaal Nuux,3546,17,10000.0
Amanda Gibeau,0,0,2000.0
Amanda Keesmaat,26,18,2000.0
Amanda Lowe W.,0,0,2000.0
Amanda May,72,0,2000.0
Amanda Rheaume,586,7,10000.0
Amanda Spvde,75,0,2000.0
Amanda Sum,161,2,2000.0
Amber J,305,25,10000.0
Amber-Jo Bowman,104,14,2000.0
Ambre McLean,322,2,2000.0
Amelie No,284,4,25045.0
Amelie Patterson,580,9,4108.0
Ami Cheon,558,5,2000.0
Amir Brandon,243,7,55000.0
Ammoye,298,11,44863.0
Among Legends,158,1,2000.0
Amos the Kid,674,22,2000.0
Amy Bacon,116,3,2000.0
Amy Bishop,608,3,10000.0
Amy Blake,1,0,2000.0
Amy Pitt,38,0,2000.0
Anachnid,1989,23,12450.0
Anakrusis,0,0,2000.0
Anders,114004,58,87895.2
Anders Muskens,19,1,2000.0
Andrea,0,0,2000.0
Andrea Ramolo,424,7,42313.0
"Andrea Shipka ""réa""",0,0,2000.0
Andrea Superstein,406,12,10000.0
Andrew Allen,15079,38,10000.0
Andrew Cameron,0,0,2000.0
Andrew Cassara,6005,19,58869.0
Andrew Paul MacDonald,4,0,10000.0
Andrew Pololos,813,19,16420.17
Andrew Sherriff,59,3,2000.0
Andrew Waite,336,8,2580.0
André Ethier,896,17,7156.0
Andy Shauf,126451,55,24995.47
Andy Stochansky,509,10,6734.77
Angel Baribeau,920,16,13938.0
Angela Saini,191,2,2760.0
Angela Turone and Chris Platt Duo,0,0,20613.0
Angela Wrigley Trio,0,0,20442.0
Angele Desbois,17,0,2000.0
Angie Faith,38,0,2000.0
Anklegod,939,22,32256.05
Ann Vriend,963,10,34974.0
Anna Arrobas,113,1,2000.0
Anna Katarina,141,14,2000.0
Annabelle Chvostek,408,6,39071.54
Anomalie,86454,48,35277.0
Anthony Bezel,30,5,2000.0
Anthony Kalabretta,544,25,2300.0
Anthony Kavanagh,2233,43,10000.0
Anthony OKS,256,4,12282.87
Anya Smith,1,0,2000.0
Anzola,0,0,23021.13
Apashe,208014,66,68264.4
Apollo Suns,3771,15,2000.0
Apryll Aileen,0,0,1865.0
Archspire,66767,42,32070.0
