"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2016A000011124","Persons","249","units","0","v1","1","37899277","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","523631","","","","0"
"2020-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","158629","","","","0"
"2020-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","975898","","","","0"
"2020-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","780040","","","","0"
"2020-01","Quebec","2016A000224","Persons","249","units","0","v11","6","8556650","","","","0"
"2020-01","Ontario","2016A000235","Persons","249","units","0","v12","7","14689075","","","","0"
"2020-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","1377004","","","","0"
"2020-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1179154","","","","0"
"2020-01","Alberta","2016A000248","Persons","249","units","0","v15","10","4402045","","","","0"
"2020-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","5131575","","","","0"
"2020-01","Yukon","2016A000260","Persons","249","units","0","v4","12","41731","","","","0"
"2020-01","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","45119","","","","0"
"2020-01","Nunavut","2016A000262","Persons","249","units","0","v7","15","38726","","","","0"


